46 , mapped-by-core-extra , 8196 x 8196 , 7.13518 , 6.19888e-06 , 0.910337 , 8.04552
46 , mapped-by-core-extra , 8196 x 8196 , 7.73187 , 7.86781e-06 , 0.916902 , 8.64879
46 , mapped-by-core-extra , 8196 x 8196 , 5.95454 , 4.05312e-06 , 0.883365 , 6.83791
46 , mapped-by-core-extra , 8196 x 8196 , 4.94798 , 1.5974e-05 , 0.853713 , 5.80171
46 , mapped-by-core-extra , 8196 x 8196 , 5.02515 , 1.19209e-05 , 0.840679 , 5.86585
47 , mapped-by-core-extra , 8196 x 8196 , 6.55542 , 4.05312e-06 , 0.923791 , 7.47921
47 , mapped-by-core-extra , 8196 x 8196 , 5.90511 , 4.05312e-06 , 0.83323 , 6.73835
47 , mapped-by-core-extra , 8196 x 8196 , 4.91625 , 1.09673e-05 , 0.868367 , 5.78464
47 , mapped-by-core-extra , 8196 x 8196 , 4.97301 , 9.05991e-06 , 0.847674 , 5.8207
47 , mapped-by-core-extra , 8196 x 8196 , 4.48428 , 8.10623e-06 , 0.987982 , 5.47227
48 , mapped-by-core-extra , 8196 x 8196 , 5.17872 , 1.12057e-05 , 0.922918 , 6.10166
48 , mapped-by-core-extra , 8196 x 8196 , 5.01192 , 1.09673e-05 , 0.925638 , 5.93758
48 , mapped-by-core-extra , 8196 x 8196 , 3.91174 , 1.00136e-05 , 0.903089 , 4.81485
48 , mapped-by-core-extra , 8196 x 8196 , 6.60498 , 2.86102e-06 , 0.85826 , 7.46325
48 , mapped-by-core-extra , 8196 x 8196 , 5.23277 , 1.19209e-05 , 0.961932 , 6.19472
49 , mapped-by-core-extra , 8196 x 8196 , 5.92737 , 9.05991e-06 , 0.935233 , 6.86261
49 , mapped-by-core-extra , 8196 x 8196 , 6.17718 , 9.05991e-06 , 1.03488 , 7.21207
49 , mapped-by-core-extra , 8196 x 8196 , 3.3845 , 1.09673e-05 , 0.934318 , 4.31883
49 , mapped-by-core-extra , 8196 x 8196 , 7.00578 , 1.19209e-05 , 0.970384 , 7.97618
49 , mapped-by-core-extra , 8196 x 8196 , 3.03624 , 5.96046e-06 , 0.934317 , 3.97057
50 , mapped-by-core-extra , 8196 x 8196 , 3.5617 , 1.28746e-05 , 0.948884 , 4.5106
50 , mapped-by-core-extra , 8196 x 8196 , 5.66358 , 3.8147e-06 , 0.978182 , 6.64178
50 , mapped-by-core-extra , 8196 x 8196 , 5.45703 , 1.19209e-05 , 1.01177 , 6.46881
50 , mapped-by-core-extra , 8196 x 8196 , 3.87415 , 5.96046e-06 , 0.959761 , 4.83392
50 , mapped-by-core-extra , 8196 x 8196 , 5.70588 , 1.00136e-05 , 0.930686 , 6.63658
51 , mapped-by-core-extra , 8196 x 8196 , 5.67733 , 1.19209e-05 , 0.979564 , 6.65691
51 , mapped-by-core-extra , 8196 x 8196 , 5.93401 , 8.10623e-06 , 1.07595 , 7.00997
51 , mapped-by-core-extra , 8196 x 8196 , 5.19134 , 1.90735e-06 , 0.936483 , 6.12783
51 , mapped-by-core-extra , 8196 x 8196 , 2.98257 , 9.05991e-06 , 0.945941 , 3.92853
51 , mapped-by-core-extra , 8196 x 8196 , 5.43691 , 1.21593e-05 , 0.997083 , 6.43401
52 , mapped-by-core-extra , 8196 x 8196 , 6.12952 , 8.10623e-06 , 1.01999 , 7.14953
52 , mapped-by-core-extra , 8196 x 8196 , 4.76278 , 5.00679e-06 , 1.00255 , 5.76535
52 , mapped-by-core-extra , 8196 x 8196 , 5.8984 , 1.00136e-05 , 0.999536 , 6.89795
52 , mapped-by-core-extra , 8196 x 8196 , 3.98757 , 1.09673e-05 , 0.979691 , 4.96728
